gene_id,CLIP-35L33G,RNA-control,RNA-siLin28a,RNA-siLuc,RPF-siLin28a,RPF-siLuc
MSTRG.176|Gm24171,0,0,0,0,0,0
MSTRG.175|Paqr8,239,34,160,83,123,59
ENSMUSG00000100929.2|Gm28064,0,0,0,0,0,0
MSTRG.174|Efhc1,0,0,24,0,0,0
MSTRG.183|Tram2,94,55,0,37,65,41
MSTRG.184,0,1,11,2,7,6
MSTRG.173|Gm20587,63,0,0,1,18,41
ENSMUSG00000100418.2|Gm28239,2,0,0,0,0,0
ENSMUSG00000101468.2|Gm7761,0,0,0,0,0,0
MSTRG.194|Mir30a,2,0,0,0,2,2
MSTRG.195|Gm27028,0,1,4,1,0,0
MSTRG.195|Mir30c-2,3,1,2,0,1,1
ENSMUSG00000100775.2|Gm29107,1,0,1,0,0,0
MSTRG.196,10,7,64,45,17,8
MSTRG.197,29,18,30,17,4,3
ENSMUSG00000101227.2|Gm29506,0,0,0,0,0,0
ENSMUSG00000073730.3|Ppp1r14bl,3,1,5,1,3,4
MSTRG.199|Ogfrl1,0,36,78,69,0,10
MSTRG.198|Gm7784,6,4,28,14,15,41
MSTRG.190|Kcnq5,1,1,10,3,8,1
MSTRG.191|Gm36949,0,0,0,0,0,0
MSTRG.192|Gm7658,263,94,366,406,151,369
MSTRG.193|Gm38243,12,8,10,13,1,1
MSTRG.186|Gm5696,28,2,5,3,5,5
MSTRG.202|Sdhaf4,98,42,160,147,95,121
MSTRG.203|Gm26524,0,1,2,1,4,3
MSTRG.200|Rims1,0,38,124,72,14,0
MSTRG.200,0,0,1,1,0,0
MSTRG.201|Gm26866,0,0,0,0,0,0
ENSMUSG00000102398.2|Gm37580,2,0,0,0,1,0
MSTRG.204|B3gat2,260,67,177,142,34,21
MSTRG.205|Smap1,436,254,657,527,170,292
ENSMUSG00000026147.17|Col9a1,0,0,0,1,0,0
MSTRG.213|Fam135a,186,128,336,316,43,54
MSTRG.213,0,0,0,7,0,0
ENSMUSG00000100483.2|Gm28237,0,0,0,0,0,0
ENSMUSG00000100450.2|Gm9443,3,1,1,1,1,1
MSTRG.216|Lmbrd1,273,61,151,136,332,207
ENSMUSG00000026141.14|Col19a1,0,0,0,0,0,0
ENSMUSG00000077463.3|Gm26418,0,0,0,0,0,0
MSTRG.206|Tubb4b-ps2,52,121,415,294,181,448
MSTRG.207|Gm28439,287,901,2579,2546,1331,1055
MSTRG.207|Gm10222,12,234,478,184,311,66
MSTRG.208|Gm28438,39,581,1440,1427,315,259
MSTRG.209|Gm28437,198,3643,12277,9198,7731,6367
MSTRG.210|Gm10925,183,3292,7505,6845,4987,3966
MSTRG.211|Gm28661,139,4237,18106,14744,7587,6007
MSTRG.212|Gm29216,65,2954,8368,5427,3820,2914
ENSMUSG00000104516.2|Gm9884,2,0,0,0,0,0
MSTRG.214|Gm19123,1,5,0,1,0,0
ENSMUSG00000073722.4|4931408C20Rik,0,0,0,0,0,0
MSTRG.215|5S_rRNA,20,0,0,1,5,10
ENSMUSG00000101514.2|Gm5524,0,0,0,0,0,0
ENSMUSG00000101033.2|Gm18776,0,2,4,4,0,0
MSTRG.219|Gm19028,72,7,14,12,12,37
ENSMUSG00000103241.2|Gm38089,2,1,8,4,1,1
MSTRG.217|Gm7846,187,11,40,37,18,27
MSTRG.218|Gm5697,7,7,17,23,9,19
ENSMUSG00000101235.2|Gm18033,3,0,3,1,1,1
MSTRG.220|Gm6462,7,0,0,0,2,3
MSTRG.221|Gm5525,562,230,965,655,336,580
MSTRG.223|Gm6473,0,12,0,0,0,10
ENSMUSG00000101180.2|Gm2914,0,0,0,0,0,0
MSTRG.224|Adgrb3,21,11,13,10,7,4
MSTRG.228|Gm37543,0,0,0,0,0,0
MSTRG.229|Gm37331,0,1,0,0,0,0
MSTRG.232|Gm38286,0,0,1,0,0,1
MSTRG.234|Gm25294,0,0,0,0,0,0
MSTRG.245|Gm37602,0,1,3,0,0,0
MSTRG.247|2900002M20Rik,0,0,0,0,0,0
MSTRG.225|Gm15702,6,5,32,15,11,27
MSTRG.226|Gm20172,2,1,1,1,0,0
MSTRG.227|U6,2,1,0,1,1,3
MSTRG.230|Gm37211,1,1,1,1,1,0
MSTRG.231|Gm37862,3,0,0,0,0,0
MSTRG.233|Gm37880,7,1,4,6,1,1
MSTRG.235|Gm37011,4,3,7,4,1,1
MSTRG.236|Gm29214,2,1,1,0,6,5
MSTRG.237|Gm37051,1,0,1,0,0,1
MSTRG.238|Gm38260,2,0,4,1,0,0
MSTRG.239|Gm37628,5,1,4,5,1,1
MSTRG.240|8030445P17Rik,1,0,1,1,1,0
MSTRG.241|Gm38198,15,2,12,14,1,1
MSTRG.242|Gm37077,22,6,10,15,1,1
MSTRG.243|Gm37895,26,0,3,1,0,0
MSTRG.244|Gm36952,9,1,1,1,0,0
MSTRG.246|2900022M07Rik,1,0,4,1,0,1
ENSMUSG00002075317.1|ENSMUSG00002075317,0,0,0,0,0,0
ENSMUSG00000101726.2|Gm7858,5,1,2,2,2,4
MSTRG.222,27,4,14,14,1,1
MSTRG.248|Gm6489,12,1,2,1,2,2
ENSMUSG00000100592.2|Gm28645,0,0,1,0,1,1
ENSMUSG00000100205.2|Gm4850,2,1,1,0,1,1
ENSMUSG00000101093.2|Eef1a1-ps2,0,0,0,0,0,0
MSTRG.249|Gm19680,78,46,128,119,22,37
ENSMUSG00000082159.3|Gm7910,2,1,9,5,3,6
ENSMUSG00000104433.2|Gm37426,2,1,3,2,1,1
MSTRG.270|Phf3,2395,641,1965,2282,405,535
MSTRG.270,0,15,419,65,46,189
ENSMUSG00000117091.2|Gm5698,0,1,2,0,1,1
ENSMUSG00000086726.4|Gm9458,0,0,1,1,1,1
MSTRG.251|4931428L18Rik,6,0,2,3,2,1
MSTRG.252|Gm28644,0,0,0,0,0,0
MSTRG.253|5S_rRNA,0,0,0,0,0,0
MSTRG.254|Gm29128,0,0,0,0,0,0
MSTRG.255|Gm7893,0,0,2,3,2,1
MSTRG.256|Lgsn,2,0,1,0,1,1
MSTRG.271|Gm37522,22,3,4,4,0,0
MSTRG.272|Gm37906,29,6,41,20,2,4
MSTRG.250|Ptp4a1,833,378,1060,1088,405,443
ENSMUSG00000102926.2|Gm37151,1,1,1,0,0,0
ENSMUSG00000100497.2|Gm28624,1,0,1,0,0,0
MSTRG.257|Gm37724,72,35,71,72,1,1
MSTRG.260|Khdrbs2,0,0,0,0,0,0
MSTRG.261|Gm25814,0,0,0,0,0,0
MSTRG.264|Gm37911,0,0,0,0,0,0
MSTRG.268|Gm24732,0,0,0,0,0,0
MSTRG.262|Gm37999,1,0,0,2,0,0
MSTRG.263|Gm37110,124,26,104,103,1,1
MSTRG.265|Gm9839,1,1,1,1,0,0
MSTRG.266|Gm37792,2,1,1,1,0,0
MSTRG.267|Gm5415,7,1,1,1,0,0
MSTRG.259|Gm4785,1,2,5,5,7,14
MSTRG.258|Gm7114,48,10,52,32,15,20
ENSMUSG00000100318.3|Gm18799,2,0,0,0,0,0
ENSMUSG00000101612.3|Gm7933,6,4,16,18,4,7
MSTRG.269|Gm23453,2,1,0,1,1,1
ENSMUSG00000088750.3|Gm24901,0,0,0,0,0,0
ENSMUSG00000104230.2|Gm37591,0,0,0,0,0,0
ENSMUSG00000101754.3|Gm2987,0,0,0,0,0,0
ENSMUSG00000065223.4|Gm25792,1,0,0,0,0,1
MSTRG.282|Gm15455,26,56,142,113,11,39
MSTRG.279|Bag2,28,20,42,42,19,21
MSTRG.283|Zfp451,712,319,894,811,85,135
MSTRG.280|Gm37905,1,0,1,0,1,1
MSTRG.283,8,1,0,0,0,0
MSTRG.273,46,86,310,219,3,37
MSTRG.273|Prim2,635,164,363,415,172,292
MSTRG.278|1700001G17Rik,0,1,2,3,1,1
MSTRG.281|Rab23,262,195,568,588,72,137
MSTRG.274|Gm29228,329,43,78,49,143,191
MSTRG.275,13,0,0,0,0,0
MSTRG.276|Gm37618,33,4,15,5,0,0
MSTRG.277|Gm17813,1,1,0,1,1,1
ENSMUSG00000102198.2|Gm38173,2,0,0,0,0,0
ENSMUSG00000102839.2|Gm37385,1,1,0,0,0,0
ENSMUSG00000101206.2|Gm5266,0,0,0,0,0,0
MSTRG.286|Ccdc115,128,73,278,198,153,156
MSTRG.286|Gm28306,0,8,21,0,1,1
MSTRG.287|Imp4,651,692,1511,1252,295,485
MSTRG.284|Gm3052,14,14,62,36,19,26
MSTRG.285|Gm37233,15,4,5,5,1,2
MSTRG.285|Mir5103,1,0,0,1,0,1
ENSMUSG00000101223.7|4930568A12Rik,0,0,0,0,0,0
MSTRG.288|Ptpn18,14,5,22,1,11,9
MSTRG.289|Gm28417,64,138,221,244,20,42
ENSMUSG00000026124.5|Cfc1,0,0,0,0,9,7
ENSMUSG00000037529.14|Prss40,0,5,8,9,1,1
ENSMUSG00000045815.5|1700101I19Rik,0,0,0,0,0,0
ENSMUSG00000045174.11|Amer3,0,0,0,0,0,0
ENSMUSG00000101803.2|Gm28419,1,0,1,0,1,1
ENSMUSG00000103716.2|Gm19430,2,1,5,5,1,1
MSTRG.290|Gm37670,14,2,2,6,1,2
MSTRG.291|Gm8009,2,1,3,3,2,5
ENSMUSG00000103708.2|Gm33222,0,0,0,0,0,0
ENSMUSG00000102434.2|Gm38049,4,0,3,1,0,1
